,open,close,high,low,volume,money
2015-07-01,8396.0,7509.4,8800.0,7509.4,418824.0,704611203240.0
2015-07-02,7910.0,7667.8,8277.0,7323.8,502523.0,779715496840.0
2015-07-03,7718.0,7404.8,7936.4,7072.4,407628.0,608316062240.0
2015-07-06,8167.2,7440.0,8167.2,6701.6,345855.0,503224912800.0
2015-07-07,7303.6,6516.2,7438.0,6516.2,126905.0,175729601880.0
2015-07-08,6202.0,5956.6,7280.2,5956.6,37070.0,47156578720.0
2015-07-09,5956.6,6552.2,6552.2,5900.0,17083.0,21664309680.0
2015-07-10,6894.0,7207.4,7207.4,6888.0,11110.0,15871123800.0
2015-07-13,7500.0,7569.6,7928.0,7307.4,95522.0,147316144720.0
2015-07-14,7749.0,7645.0,7970.0,7532.0,116607.0,180361625400.0
2015-07-15,7613.6,7136.0,7655.8,7002.0,92798.0,136046856480.0
2015-07-16,7120.0,7531.8,7765.0,6989.0,54002.0,80091905640.0
2015-07-17,7224.8,7857.6,7857.6,7224.8,134674.0,203348456200.0
2015-07-20,7920.0,7589.0,8087.8,7413.2,189519.0,292884550520.0
2015-07-21,7587.8,7715.0,7935.2,7402.2,185925.0,286085887480.0
2015-07-22,7715.0,7773.0,7918.0,7572.2,151210.0,234709516120.0
2015-07-23,7802.2,8386.0,8498.6,7702.2,172241.0,278127306200.0
2015-07-24,8414.2,7980.0,8538.0,7912.4,185487.0,309134691440.0
2015-07-27,7978.8,7341.4,8180.0,7341.4,153759.0,243508812760.0
2015-07-28,7198.0,7221.0,7528.8,7034.0,168856.0,245264910720.0
2015-07-29,7300.6,7702.8,7715.8,6955.2,179005.0,262818960560.0
2015-07-30,7700.0,7232.0,7731.0,7146.0,190390.0,286248776000.0
2015-07-31,7275.0,7399.0,7642.2,7210.0,149888.0,221605753160.0
2015-08-03,7335.0,7065.2,7351.0,6990.0,98428.0,140933050920.0
2015-08-04,7088.8,7657.6,7708.6,7069.2,131506.0,195281903560.0
2015-08-05,7677.0,7486.4,7737.2,7460.0,118095.0,179221411520.0
2015-08-06,7415.0,7545.4,7727.8,7361.0,122864.0,185961413720.0
2015-08-07,7600.0,7851.2,7966.0,7583.8,131512.0,206253696640.0
2015-08-10,7855.0,8330.0,8440.0,7855.0,108046.0,176162890840.0
2015-08-11,8356.8,8200.6,8396.2,8185.2,103813.0,172459176360.0
2015-08-12,8202.2,8082.2,8330.0,8051.0,113709.0,186463966720.0
2015-08-13,8100.0,8345.8,8387.0,8052.6,112898.0,185490658920.0
2015-08-14,8388.0,8397.0,8527.8,8308.0,116621.0,197021646400.0
2015-08-17,8406.0,8659.0,8690.0,8200.0,114466.0,194086933400.0
2015-08-18,8689.0,7802.0,8761.6,7770.2,136282.0,226159493640.0
2015-08-19,7793.8,8151.2,8198.8,7603.2,117489.0,185695899920.0
2015-08-20,7720.0,7557.0,7918.0,7500.2,131354.0,201719986280.0
2015-08-21,7500.2,7207.4,7619.0,7060.0,173849.0,255589979240.0
2015-08-24,6953.0,6523.6,7044.6,6523.6,89052.0,119792245840.0
2015-08-25,6249.0,5871.4,6380.0,5871.4,128798.0,158724597880.0
2015-08-26,5869.0,5400.2,6150.0,5301.2,169262.0,195518752360.0
2015-08-27,5700.0,5928.2,6079.4,5510.0,166242.0,193054390920.0
2015-08-28,6101.2,6402.6,6402.6,5884.0,129943.0,158057904560.0
2015-08-31,6387.0,5961.4,6388.0,5852.0,85814.0,103908020240.0
2015-09-01,5960.0,5373.0,6195.6,5363.2,109123.0,122010345040.0
2015-09-02,5277.4,5377.0,5975.0,5101.8,158776.0,173954952280.0
2015-09-07,5650.0,5795.0,5921.8,5550.0,11697.0,13619144160.0
2015-09-08,5806.2,6383.0,6383.0,5752.6,10836.0,13128981360.0
2015-09-09,6428.0,6369.0,6578.0,6300.0,9181.0,11809213720.0
2015-09-10,6318.0,6319.0,6463.8,6234.2,6395.0,8120991040.0
2015-09-11,6330.8,6420.0,6489.0,6296.2,6184.0,7909458080.0
2015-09-14,6498.0,5758.2,6500.0,5758.2,8153.0,10011356920.0
2015-09-15,5749.6,5663.6,5898.6,5590.2,6917.0,7958170760.0
2015-09-16,5710.4,6050.8,6200.0,5620.0,7708.0,9021220520.0
2015-09-17,6100.0,5955.0,6218.2,5855.0,4130.0,5019452800.0
2015-09-18,5965.2,6010.2,6192.0,5930.4,2184.0,2626105840.0
2015-09-21,5750.0,6170.2,6184.2,5715.0,10042.0,11932534320.0
2015-09-22,6168.8,6077.8,6190.0,6005.0,9276.0,11318663120.0
2015-09-23,6080.8,5980.4,6093.2,5903.0,9051.0,10872834840.0
2015-09-24,6000.0,6100.0,6146.8,5978.0,8986.0,10906944120.0
2015-09-25,6098.8,5787.4,6115.0,5713.0,10687.0,12623876120.0
2015-09-28,5848.0,5994.4,6036.6,5770.0,9431.0,11155013760.0
2015-09-29,5950.0,5914.0,5950.0,5788.2,8872.0,10428152120.0
2015-09-30,5955.0,5917.8,5993.0,5852.0,7381.0,8751195360.0
2015-10-08,6220.0,6195.2,6350.0,6191.8,7856.0,9844458280.0
2015-10-09,6230.0,6406.8,6444.6,6208.8,7489.0,9453899480.0
2015-10-12,6458.2,6642.6,6790.0,6458.2,8516.0,11291458000.0
2015-10-13,6613.0,6688.6,6737.6,6586.4,6576.0,8770147280.0
2015-10-14,6645.0,6645.2,6743.4,6625.6,6975.0,9329439760.0
2015-10-15,6655.8,6954.8,6957.0,6655.2,5867.0,7966886240.0
2015-10-16,6997.8,6979.8,7099.2,6902.4,3753.0,5221898720.0
2015-10-19,6797.8,6685.0,6818.0,6530.0,8686.0,11629886560.0
2015-10-20,6685.0,6850.0,6850.0,6645.6,8843.0,11900876040.0
2015-10-21,6814.0,6478.8,6844.0,6451.0,10707.0,14213515960.0
2015-10-22,6520.2,6666.2,6735.0,6483.0,10515.0,13881061120.0
2015-10-23,6706.2,6908.0,6920.0,6671.0,9940.0,13456037440.0
2015-10-26,6944.0,6865.0,6949.8,6750.0,9359.0,12799124000.0
2015-10-27,6824.0,6903.4,6990.0,6641.2,10357.0,14066865480.0
2015-10-28,6910.0,6683.4,6927.0,6666.8,9763.0,13270788280.0
2015-10-29,6712.2,6782.0,6886.6,6655.0,9744.0,13187691880.0
2015-10-30,6801.0,6783.8,6887.0,6651.0,10368.0,14043599760.0
2015-11-02,6641.0,6668.8,6868.0,6582.6,10294.0,13850043160.0
2015-11-03,6696.8,6656.2,6757.0,6614.8,9553.0,12765142560.0
2015-11-04,6700.0,7090.6,7117.6,6678.8,11240.0,15461298000.0
2015-11-05,7066.8,7066.4,7119.6,6983.2,9820.0,13869381280.0
2015-11-06,7068.8,7293.8,7338.8,7068.0,8847.0,12758534440.0
2015-11-09,7270.0,7353.8,7449.8,7205.2,8477.0,12398969960.0
2015-11-10,7330.0,7394.0,7439.0,7320.2,7301.0,10785090240.0
2015-11-11,7388.0,7545.0,7548.8,7378.0,7006.0,10430343280.0
2015-11-12,7540.0,7519.0,7570.0,7391.0,7645.0,11440377560.0
2015-11-13,7476.6,7468.0,7523.4,7330.0,7923.0,11779014320.0
2015-11-16,7345.0,7638.0,7670.2,7345.0,7723.0,11585414200.0
2015-11-17,7660.0,7547.6,7788.2,7500.8,7544.0,11573492280.0
2015-11-18,7557.8,7499.0,7655.6,7466.0,5941.0,8990910680.0
2015-11-19,7516.2,7697.0,7710.0,7502.2,4148.0,6296122240.0
2015-11-20,7439.0,7442.6,7540.4,7388.8,9007.0,13417872720.0
