,open,close,high,low,volume,money
2015-07-01,4388.0,4059.0,4483.0,4012.0,2255951.0,2949199253820.0
2015-07-02,4170.2,4130.0,4316.4,3933.0,2594682.0,3233772563220.0
2015-07-03,4123.6,3931.8,4205.0,3787.2,2431070.0,2911726142520.0
2015-07-06,4299.8,4040.6,4347.6,3811.0,2000696.0,2415255647160.0
2015-07-07,4021.8,3696.8,4024.4,3650.0,1518689.0,1773799690260.0
2015-07-08,3589.0,3463.4,3750.0,3463.4,414476.0,450940249320.0
2015-07-09,3363.0,3810.0,3810.0,3363.0,618869.0,676545186780.0
2015-07-10,3818.0,4166.6,4191.0,3780.8,1128332.0,1380572804880.0
2015-07-13,4120.0,4085.4,4269.8,4071.2,1679624.0,2099259639240.0
2015-07-14,4100.0,4001.6,4135.0,3928.8,1649752.0,1998152361360.0
2015-07-15,4015.8,3858.4,4022.2,3786.4,1642710.0,1915390640760.0
2015-07-16,3840.0,4008.0,4068.8,3782.0,1008523.0,1193875428840.0
2015-07-17,4016.0,4124.4,4133.0,3992.0,98743.0,120239910120.0
2015-07-20,4102.2,3950.0,4116.6,3865.6,1915253.0,2291205704760.0
2015-07-21,3940.0,3969.0,4049.6,3867.2,2088061.0,2480776316100.0
2015-07-22,3959.0,3945.2,3992.6,3860.0,1680058.0,1984064831520.0
2015-07-23,3942.0,4183.8,4218.0,3933.0,1786621.0,2186766983880.0
2015-07-24,4195.0,4012.2,4203.6,3976.4,1891384.0,2333941799880.0
2015-07-27,4005.0,3647.8,4014.0,3647.8,1716828.0,2006089233180.0
2015-07-28,3611.0,3654.0,3749.8,3557.8,2226862.0,2443967685000.0
2015-07-29,3683.0,3821.4,3828.0,3602.0,2065706.0,2292038460540.0
2015-07-30,3819.0,3653.8,3822.8,3580.0,2246907.0,2523859310520.0
2015-07-31,3650.0,3693.4,3782.0,3611.2,1926320.0,2122679642820.0
2015-08-03,3670.0,3638.2,3674.0,3568.6,1291333.0,1401009654240.0
2015-08-04,3640.4,3837.6,3874.0,3638.2,1543420.0,1744088843220.0
2015-08-05,3838.8,3762.6,3846.8,3727.4,1485697.0,1688133312180.0
2015-08-06,3731.2,3766.8,3849.8,3693.0,1895077.0,2144807521380.0
2015-08-07,3765.2,3854.6,3928.0,3765.2,1958798.0,2273718575700.0
2015-08-10,3867.0,4032.8,4089.6,3866.0,1755566.0,2092497429000.0
2015-08-11,4046.6,4001.2,4056.2,3983.0,1777406.0,2146569698820.0
2015-08-12,3982.8,3966.8,4049.0,3952.8,1989198.0,2385263251740.0
2015-08-13,3975.2,4015.6,4028.0,3920.0,1756079.0,2097459583320.0
2015-08-14,4021.2,4008.6,4064.4,3980.0,1826601.0,2207840528640.0
2015-08-17,4002.0,4003.8,4016.4,3911.6,1661291.0,1975449545820.0
2015-08-18,4015.4,3755.0,4048.0,3633.2,2053606.0,2399547742920.0
2015-08-19,3736.0,3808.2,3850.0,3653.0,1847063.0,2078900623560.0
2015-08-20,3675.0,3601.0,3704.6,3563.0,1587365.0,1730167072860.0
2015-08-21,3580.2,3469.2,3617.8,3408.8,2340449.0,2469737727240.0
2015-08-24,3391.2,3132.2,3398.0,3132.2,1375400.0,1327554751680.0
2015-08-25,3050.0,2821.6,3106.6,2821.6,2425793.0,2184725505180.0
2015-08-26,2852.0,2749.6,3024.0,2686.0,1816214.0,1566238848780.0
2015-08-27,2830.0,3030.8,3050.2,2819.6,1774184.0,1557133973400.0
2015-08-28,3085.4,3188.4,3228.6,3013.6,1312380.0,1211333456580.0
2015-08-31,3170.0,3070.2,3170.0,2983.0,560679.0,514980704040.0
2015-09-01,3080.0,2999.0,3140.0,2886.8,581134.0,525293755980.0
2015-09-02,2939.8,2965.8,3200.0,2910.0,594525.0,542942018220.0
2015-09-07,3099.8,3096.2,3329.0,3050.0,38054.0,36312399060.0
2015-09-08,3120.0,3338.0,3339.0,3075.0,28957.0,27701162100.0
2015-09-09,3364.0,3328.2,3388.8,3292.8,23237.0,23283154320.0
2015-09-10,3308.4,3296.6,3336.8,3268.0,15978.0,15837825300.0
2015-09-11,3310.0,3311.4,3354.6,3278.0,16290.0,16214487240.0
2015-09-14,3350.0,3130.6,3360.0,3101.0,21371.0,20635832400.0
2015-09-15,3131.6,3142.2,3209.6,3103.2,17635.0,16682445120.0
2015-09-16,3161.8,3304.8,3346.0,3110.8,17246.0,16490001480.0
2015-09-17,3304.6,3240.6,3347.0,3228.4,11370.0,11231320080.0
2015-09-18,3284.8,3255.0,3284.8,3245.0,6330.0,6196250820.0
2015-09-21,3107.4,3232.2,3234.8,3100.0,16556.0,15751934640.0
2015-09-22,3240.2,3232.8,3266.8,3210.2,15332.0,14872219980.0
2015-09-23,3218.8,3161.0,3220.0,3136.0,14619.0,13948364640.0
2015-09-24,3168.0,3187.0,3222.0,3157.2,13630.0,13041722580.0
2015-09-25,3195.8,3118.0,3196.8,3070.0,15266.0,14377439400.0
2015-09-28,3106.0,3150.0,3168.6,3091.0,12950.0,12170428860.0
2015-09-29,3108.2,3082.8,3120.0,3048.8,13114.0,12139416540.0
2015-09-30,3103.4,3121.4,3151.0,3093.6,11851.0,11094529920.0
2015-10-08,3251.2,3214.8,3301.0,3212.0,13416.0,13125309420.0
2015-10-09,3241.4,3310.0,3319.6,3232.4,14340.0,14086569720.0
2015-10-12,3340.2,3421.0,3476.8,3321.0,16314.0,16650864360.0
2015-10-13,3420.0,3414.8,3428.4,3396.0,11664.0,11948986620.0
2015-10-14,3400.0,3377.0,3433.8,3359.0,12615.0,12895363860.0
2015-10-15,3387.6,3493.8,3493.8,3383.2,11481.0,11820409500.0
2015-10-16,3350.0,3348.0,3378.8,3301.0,4033.0,4046091180.0
2015-10-19,3348.0,3290.0,3354.2,3253.6,3489.0,3467248200.0
